make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,city_mpg,highway_mpg,price
alfa-romero,gas,two,convertible,rwd,front,88.59999847,168.8000031,64.09999847,48.79999924,2548,dohc,four,130,mpfi,9,111,21,27,13495
alfa-romero,gas,two,convertible,rwd,front,88.59999847,168.8000031,64.09999847,48.79999924,2548,dohc,four,130,mpfi,9,111,21,27,16500
alfa-romero,gas,two,hatchback,rwd,front,94.5,171.1999969,65.5,52.40000153,2823,ohcv,six,152,mpfi,9,154,19,26,16500
audi,gas,four,sedan,4wd ,front,99.40000153,176.6000061,66.40000153,54.29999924,2824,ohc,five,136,mpfi,8,115,18,22,17450
audi,gas,two,sedan,fwd,front,99.80000305,177.3000031,66.30000305,53.09999847,2507,ohc,five,136,mpfi,8.5,110,19,25,15250
audi,gas,four,sedan,fwd,front,105.8000031,192.6999969,71.40000153,55.70000076,2844,ohc,five,136,mpfi,8.5,110,19,25,17710
audi,gas,four,wagon,fwd,front,105.8000031,192.6999969,71.40000153,55.70000076,2954,ohc,five,136,mpfi,8.5,110,19,25,18920
audi,gas,four,sedan,fwd,front,105.8000031,192.6999969,71.40000153,55.90000153,3086,ohc,five,131,mpfi,8.300000191,140,17,20,23875
audi,gas,two,hatchback,4wd ,front,99.5,178.1999969,67.90000153,52,3053,ohc,five,131,mpfi,7,160,16,22,0
bmw,gas,two,sedan,rwd,front,101.1999969,176.8000031,64.80000305,54.29999924,2395,ohc,four,108,mpfi,8.800000191,101,23,29,16430
bmw,gas,four,sedan,rwd,front,101.1999969,176.8000031,64.80000305,54.29999924,2395,ohc,four,108,mpfi,8.800000191,101,23,29,16925
bmw,gas,two,sedan,rwd,front,101.1999969,176.8000031,64.80000305,54.29999924,2710,ohc,six,164,mpfi,9,121,21,28,20970
bmw,gas,four,sedan,rwd,front,101.1999969,176.8000031,64.80000305,54.29999924,2765,ohc,six,164,mpfi,9,121,21,28,21105
bmw,gas,four,sedan,rwd,front,103.5,189,66.90000153,55.70000076,3055,ohc,six,164,mpfi,9,121,20,25,24565
bmw,gas,four,sedan,rwd,front,103.5,189,66.90000153,55.70000076,3230,ohc,six,209,mpfi,8,182,16,22,30760
bmw,gas,two,sedan,rwd,front,103.5,193.8000031,67.90000153,53.70000076,3380,ohc,six,209,mpfi,8,182,16,22,41315
bmw,gas,four,sedan,rwd,front,110,197,70.90000153,56.29999924,3505,ohc,six,209,mpfi,8,182,15,20,36880
chevrolet,gas,two,hatchback,fwd,front,88.40000153,141.1000061,60.29999924,53.20000076,1488,l,three,61,2bbl,9.5,48,47,53,5151
chevrolet,gas,two,hatchback,fwd,front,94.5,155.8999939,63.59999847,52,1874,ohc,four,90,2bbl,9.600000381,70,38,43,6295
chevrolet,gas,four,sedan,fwd,front,94.5,158.8000031,63.59999847,52,1909,ohc,four,90,2bbl,9.600000381,70,38,43,6575
dodge,gas,two,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.79999924,1876,ohc,four,90,2bbl,9.409999847,68,37,41,5572
dodge,gas,two,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.79999924,1876,ohc,four,90,2bbl,9.399999619,68,31,38,6377
dodge,gas,two,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.79999924,2128,ohc,four,98,mpfi,7.599999905,102,24,30,7957
dodge,gas,four,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.59999847,1967,ohc,four,90,2bbl,9.399999619,68,31,38,6229
dodge,gas,four,sedan,fwd,front,93.69999695,157.3000031,63.79999924,50.59999847,1989,ohc,four,90,2bbl,9.399999619,68,31,38,6692
dodge,gas,four,sedan,fwd,front,93.69999695,157.3000031,63.79999924,50.59999847,1989,ohc,four,90,2bbl,9.399999619,68,31,38,7609
dodge,gas,four,sedan,fwd,front,93.69999695,157.3000031,63.79999924,50.59999847,2191,ohc,four,98,mpfi,7.599999905,102,24,30,8558
dodge,gas,four,wagon,fwd,front,103.3000031,174.6000061,64.59999847,59.79999924,2535,ohc,four,122,2bbl,8.5,88,24,30,8921
dodge,gas,two,hatchback,fwd,front,95.90000153,173.1999969,66.30000305,50.20000076,2811,ohc,four,156,mfi,7,145,19,24,12964
honda,gas,two,hatchback,fwd,front,86.59999847,144.6000061,63.90000153,50.79999924,1713,ohc,four,92,1bbl,9.600000381,58,49,54,6479
honda,gas,two,hatchback,fwd,front,86.59999847,144.6000061,63.90000153,50.79999924,1819,ohc,four,92,1bbl,9.199999809,76,31,38,6855
honda,gas,two,hatchback,fwd,front,93.69999695,150,64,52.59999847,1837,ohc,four,79,1bbl,10.10000038,60,38,42,5399
honda,gas,two,hatchback,fwd,front,93.69999695,150,64,52.59999847,1940,ohc,four,92,1bbl,9.199999809,76,30,34,6529
honda,gas,two,hatchback,fwd,front,93.69999695,150,64,52.59999847,1956,ohc,four,92,1bbl,9.199999809,76,30,34,7129
honda,gas,four,sedan,fwd,front,96.5,163.3999939,64,54.5,2010,ohc,four,92,1bbl,9.199999809,76,30,34,7295
honda,gas,four,wagon,fwd,front,96.5,157.1000061,63.90000153,58.29999924,2024,ohc,four,92,1bbl,9.199999809,76,30,34,7295
honda,gas,two,hatchback,fwd,front,96.5,167.5,65.19999695,53.29999924,2236,ohc,four,110,1bbl,9,86,27,33,7895
honda,gas,two,hatchback,fwd,front,96.5,167.5,65.19999695,53.29999924,2289,ohc,four,110,1bbl,9,86,27,33,9095
honda,gas,four,sedan,fwd,front,96.5,175.3999939,65.19999695,54.09999847,2304,ohc,four,110,1bbl,9,86,27,33,8845
honda,gas,four,sedan,fwd,front,96.5,175.3999939,62.5,54.09999847,2372,ohc,four,110,1bbl,9,86,27,33,10295
honda,gas,four,sedan,fwd,front,96.5,175.3999939,65.19999695,54.09999847,2465,ohc,four,110,mpfi,9,101,24,28,12945
honda,gas,two,sedan,fwd,front,96.5,169.1000061,66,51,2293,ohc,four,110,2bbl,9.100000381,100,25,31,10345
isuzu,gas,four,sedan,rwd,front,94.30000305,170.6999969,61.79999924,53.5,2337,ohc,four,111,2bbl,8.5,78,24,29,6785
isuzu,gas,two,sedan,fwd,front,94.5,155.8999939,63.59999847,52,1874,ohc,four,90,2bbl,9.600000381,70,38,43,0
isuzu,gas,four,sedan,fwd,front,94.5,155.8999939,63.59999847,52,1909,ohc,four,90,2bbl,9.600000381,70,38,43,0
isuzu,gas,two,hatchback,rwd,front,96,172.6000061,65.19999695,51.40000153,2734,ohc,four,119,spfi,9.199999809,90,24,29,11048
jaguar,gas,four,sedan,rwd,front,113,199.6000061,69.59999847,52.79999924,4066,dohc,six,258,mpfi,8.100000381,176,15,19,32250
jaguar,gas,four,sedan,rwd,front,113,199.6000061,69.59999847,52.79999924,4066,dohc,six,258,mpfi,8.100000381,176,15,19,35550
jaguar,gas,two,sedan,rwd,front,102,191.6999969,70.59999847,47.79999924,3950,ohcv,twelve,326,mpfi,11.5,262,13,17,36000
mazda,gas,two,hatchback,fwd,front,93.09999847,159.1000061,64.19999695,54.09999847,1890,ohc,four,91,2bbl,9,68,30,31,5195
mazda,gas,two,hatchback,fwd,front,93.09999847,159.1000061,64.19999695,54.09999847,1900,ohc,four,91,2bbl,9,68,31,38,6095
mazda,gas,two,hatchback,fwd,front,93.09999847,159.1000061,64.19999695,54.09999847,1905,ohc,four,91,2bbl,9,68,31,38,6795
mazda,gas,four,sedan,fwd,front,93.09999847,166.8000031,64.19999695,54.09999847,1945,ohc,four,91,2bbl,9,68,31,38,6695
mazda,gas,four,sedan,fwd,front,93.09999847,166.8000031,64.19999695,54.09999847,1950,ohc,four,91,2bbl,9,68,31,38,7395
mazda,gas,two,hatchback,rwd,front,95.30000305,169,65.69999695,49.59999847,2380,rotor,two,70,4bbl,9.399999619,101,17,23,10945
mazda,gas,two,hatchback,rwd,front,95.30000305,169,65.69999695,49.59999847,2380,rotor,two,70,4bbl,9.399999619,101,17,23,11845
mazda,gas,two,hatchback,rwd,front,95.30000305,169,65.69999695,49.59999847,2385,rotor,two,70,4bbl,9.399999619,101,17,23,13645
mazda,gas,two,hatchback,rwd,front,95.30000305,169,65.69999695,49.59999847,2500,rotor,two,80,mpfi,9.399999619,135,16,23,15645
mazda,gas,two,hatchback,fwd,front,98.80000305,177.8000031,66.5,53.70000076,2385,ohc,four,122,2bbl,8.600000381,84,26,32,8845
mazda,gas,four,sedan,fwd,front,98.80000305,177.8000031,66.5,55.5,2410,ohc,four,122,2bbl,8.600000381,84,26,32,8495
mazda,gas,two,hatchback,fwd,front,98.80000305,177.8000031,66.5,53.70000076,2385,ohc,four,122,2bbl,8.600000381,84,26,32,10595
mazda,gas,four,sedan,fwd,front,98.80000305,177.8000031,66.5,55.5,2410,ohc,four,122,2bbl,8.600000381,84,26,32,10245
mazda,diesel,four,sedan,fwd,front,98.80000305,177.8000031,66.5,55.5,2443,ohc,four,122,idi,22.70000076,64,36,42,10795
mazda,gas,four,hatchback,fwd,front,98.80000305,177.8000031,66.5,55.5,2425,ohc,four,122,2bbl,8.600000381,84,26,32,11245
mazda,gas,four,sedan,rwd,front,104.9000015,175,66.09999847,54.40000153,2670,ohc,four,140,mpfi,8,120,19,27,18280
mazda,diesel,four,sedan,rwd,front,104.9000015,175,66.09999847,54.40000153,2700,ohc,four,134,idi,22,72,31,39,18344
mercedes-benz,diesel,four,sedan,rwd,front,110,190.8999939,70.30000305,56.5,3515,ohc,five,183,idi,21.5,123,22,25,25552
